,Base Price,As-Tested Price,Alex Adj,Final Price,hp,lb,lb/hp,lap time,speed,$/mph,log($)/mph,value champs
2022 subaru wrx,33100,37490,0,37490,271,3402,12.6,191.6,77.04,486.6303219106957,0.571,12
2022 hyundai elantra n,33245,33645,0,33645,276,3197,11.6,187.3,78.8,426.96700507614213,0.297,7
2022 hyundai kona n,35495,35495,0,35495,286,3340,11.7,186.1,79.31,447.5475980330349,0.286,6
2022 volkswagen golf gti,39425,39445,0,39445,241,3213,13.3,191.4,77.12,511.475622406639,0.603,13
2023 honda civic type r,46170,46625,25000,71625,315,3174,10.1,178.8,82.55,867.655966081163,0.17,2
2023 toyota gr corolla morizo edition,51420,52640,18000,70640,300,3187,10.6,179.6,82.18,859.5765393039668,0.298,8
2022 bmw m240i xdrive,51945,59745,0,59745,382,3885,10.2,180.6,81.73,731.0045271014316,0.439,10
2023 toyota gr supra 3.0 manual,54095,58865,25000,83865,382,3341,8.7,175.6,84.05,997.7989292088043,0.198,3
2022 audi rs3,67695,75045,0,75045,401,3610,9.0,172.5,85.57,877.0012854972538,0.23,4
2022 bmw i4 m50,69395,82820,0,82820,536,5078,9.5,184.7,79.91,1036.4159679639595,0.881,15
2023 cadillac ct4-v blackwing,71715,85215,15000,100215,472,3900,8.3,174.6,84.54,1185.41518807665,0.422,9
2023 chevrolet corvette z06,137180,141855,80000,221855,670,3646,5.4,158.6,93.06,2383.999570169783,0.0,1
2023 bmw m4 csl,140895,145395,50000,195395,543,3580,6.6,167.5,88.12,2217.3740354062643,0.459,11
2023 porsche 718 cayman gt4 rs,183315,186975,60000,246975,493,3053,6.2,160.5,91.96,2685.6785558938673,0.28,5
2022 mercedes-amg sl63,196850,216250,0,216250,577,4227,7.3,172.6,85.52,2528.6482694106644,1.0,16
2023 lamborghini huracán tecnica,249495,342595,100000,442595,631,3439,5.5,163.9,90.05,4914.991671293726,0.869,14
